date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:54:48	170215/170215	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2028%20Jun%202023%2013:58:28%20GMT	https://www.web-leb.com/js/codemirror.js	C:/My%20Web%20Sites/gnmath/www.web-leb.com/js/codemirror.js	(from https://www.web-leb.com/en/fullscreen/4897)
09:54:48	12098/12098	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2028%20Jun%202023%2013:58:29%20GMT	https://www.web-leb.com/js/html.js	C:/My%20Web%20Sites/gnmath/www.web-leb.com/js/html.js	(from https://www.web-leb.com/en/fullscreen/4897)
09:54:48	18856/18856	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2028%20Jun%202023%2013:58:29%20GMT	https://www.web-leb.com/js/javascript.js	C:/My%20Web%20Sites/gnmath/www.web-leb.com/js/javascript.js	(from https://www.web-leb.com/en/fullscreen/4897)
09:54:49	30729/30729	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2028%20Jun%202023%2013:58:28%20GMT	https://www.web-leb.com/js/css.js	C:/My%20Web%20Sites/gnmath/www.web-leb.com/js/css.js	(from https://www.web-leb.com/en/fullscreen/4897)
09:54:49	78129/78129	---M-Z	200	added ('OK')	application/javascript	etag:W/%2213131-qF5oFiTJGhBqUUwx6s+A3oF7LMM%22	https://cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/gnmath/cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/js/bootstrap.bundle.min.js	(from https://www.web-leb.com/en/fullscreen/4897)
09:54:49	491/491	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2028%20Jun%202023%2013:58:29%20GMT	https://www.web-leb.com/js/scripts.js	C:/My%20Web%20Sites/gnmath/www.web-leb.com/js/scripts.js	(from https://www.web-leb.com/en/fullscreen/4897)
09:54:49	121340/121340	---M--	200	added ('OK')	font/woff2	etag:W/%221d9fc-TA788dzMcpXvwm+r6B/+jyjVlKM%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.10.5/font/fonts/bootstrap-icons.woff2?1fa40e8900654d2863d011707b9fb6f2	C:/My%20Web%20Sites/gnmath/cdn.jsdelivr.net/npm/bootstrap-icons@1.10.5/font/fonts/bootstrap-iconse52a.woff2	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.10.5/font/bootstrap-icons.css)
09:54:50	164360/164360	---M--	200	added ('OK')	font/woff	etag:W/%2228208-1ZjMYgRYsi2ARDzdaRACFzFu+vM%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.10.5/font/fonts/bootstrap-icons.woff?1fa40e8900654d2863d011707b9fb6f2	C:/My%20Web%20Sites/gnmath/cdn.jsdelivr.net/npm/bootstrap-icons@1.10.5/font/fonts/bootstrap-iconse52a.woff	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.10.5/font/bootstrap-icons.css)
09:54:50	37888/37888	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2013%20Sep%202026%2016:54:51%20GMT	https://www.web-leb.com/images/circle-dec.png	C:/My%20Web%20Sites/gnmath/www.web-leb.com/images/circle-dec.png	(from https://www.web-leb.com/css/styles.css)
09:54:50	58/58	---M--	400	error ('Bad%20Request')	text/plain	etag:W/%223a-taO9i3TG0dz45Oeau8VRWJD4Xi8%22	https://cdn.jsdelivr.net/robots.txt		(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.10.5/font/bootstrap-icons.css)
